Mine Code,Mine Name,Commodity,Type,Owner,Tel,District,Province,Farm,Postal
11938,EXPLO CLAY,"CLAY BRICKMAKING, SHALE BRICKMAKING",OPENCAST,BERT'S BRICKS (PTY) LTD,(018) 292 1615,POTCHEFSTROOM,NORTH-WEST,"HARPINGTON PLOT 100, TOWN & TOWNLANDS 435 IQ 472",PO BOX 588 POTCHEFSTROOM 2520
13967,EXTRA DIMENSIONS 1158 (PTY) LTD,DIMENSION STONE GRANITE,OPENCAST,EAGLE VALLEY GRANITE,(012) 256 5361,BRITS,NORTH-WEST,HARTEBEESTPOORT 410 JQ 1143,PO BOX 2230 BRITS 0250
15412,F & J DELWERYE,DIAMONDS ALLUVIAL,OPENCAST,F & J DELWERYE,827 705 834,VENTERSDORP,NORTH-WEST,UITKYK 184 IP 19,PO BOX 4 RYSMIERBULT 2496
15413,FA GERBER - BARKHUIZEN DELWERY,DIAMONDS ALLUVIAL,OPENCAST,FA GERBER,083 285 2470,CHRISTIANA,NORTH-WEST,"WELTEVREDEN 268 HO, PANFONTEIN 270 HO",PO BOX 64 AMALIA 2786
14123,FC PRETORIUS,DIAMONDS ALLUVIAL,OPENCAST,FC PRETORIUS,(018) 297 3921,WOLMARANSSTAD,NORTH-WEST,RUSTKRAAL 129 HP 39,PO BOX 689 POTCHEFSTROOM 2520
14737,FERDINAND HARTZENBERG,DIAMONDS ALLUVIAL,OPENCAST,FERDINAND HARTZENBERG,(053) 963 1081,LICHTENBURG,NORTH-WEST,HOUTHAALBOOMEN 31 IP,PO BOX 1086 SCHWEIZER-RENEKE 2780
14549,FOURPRET DIAMONDS,DIAMONDS ALLUVIAL,OPENCAST,JAN HARMS BURGER,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,VLEESCHKRAAL 145 HO,PO BOX 1086 SCHWEIZER-RENEKE 2780
15347,FRANCOIS PETRUS KRAFT - ELANDSFONTEIN,"AGGREGATE, SAND NATURAL",OPENCAST,FP KRAFT,822 555 664,LICHTENBURG,NORTH-WEST,ELANDSFONTEIN 34 IP 19 & 20,PO BOX 333 LICHTENBURG 2740
13898,FRANCOIS PETRUS KRAFT - ROOIPAN,DIAMONDS ALLUVIAL,OPENCAST,FRANCOIS PETRUS KRAFT,822 555 664,LICHTENBURG,NORTH-WEST,ROOIPAN 18 IP,PO BOX 333 LICHGTENBURG 2740
14061,FRANS MEYER,DIAMONDS ALLUVIAL,OPENCAST,FRANS JACOB MEYER,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,LUSTFONTEIN 346 IP,PO BOX 1086 SCHWEIZER-RENEKE 2780
11708,G & W BASE - DWAALBOOM ATTAPULGITE MI,ATTAPULGITE,OPENCAST,ZIMCO GROUP,(011) 878 0343,RUSTENBURG,NORTH-WEST,"DWAALBOOM, ZUURVERDIEND 167 KP",PO BOX 14052 WADEVILLE 1422
15436,GANABO TRANSPORT & SERVICES,DIAMONDS ALLUVIAL,OPENCAST,KZ GANABO,835 996 720,SCHWEIZER - RENEKE,NORTH-WEST,VECHTVALLEI 122 HO 3,PO BOX 2127 SCHWEIZER-RENEKE 2780
15379,GCG CRUSHERS CC,"AGGREGATE, SAND NATURAL",OPENCAST,GCG CRUSHERS CC,(053) 963 1081,LICHTENBURG,NORTH-WEST,ELANDSFONTEIN 34 IP,PO BOX 1086 SCHWEIZER-RENEKE 2780
14162,GCT TRUST,DIAMONDS ALLUVIAL,OPENCAST,SH KEYSER,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,BLOEMHEUVEL 327 HO,PO BOX 1086 SCHWEIZER-RENEKE 2780
14736,GENERAL NICE DEVELOPMENT SA (PTY) LTD,MANGANESE ORE,OPENCAST,DISTANT STAR TRADING 544 CC,(053) 963 1081,VENTERSDORP,NORTH-WEST,BUCHANSVALE 61 IQ,PO BOX 1086 SCHWEIZER-RENEKE 2780
14133,GERT VENTER,DIAMONDS ALLUVIAL,OPENCAST,GERT A VENTER,824 132 289,CHRISTIANA,NORTH-WEST,KLIPFONTEIN 344 HO,PO BOX 540 BLOEMHOF 2660
15174,GG VAN NIEKERK DELVERY,DIAMONDS ALLUVIAL,OPENCAST,GG VAN NIEKERK DELVERY,845 109 716,WOLMARANSSTAD,NORTH-WEST,VLAKFONTEIN 37 HP,PO BOX 618 WOLMARANSSTAD 2630
15408,GG VAN NIEKERK DELWERY,DIAMONDS ALLUVIAL,OPENCAST,JC MOOLMAN,829 263 752,WOLMARANSSTAD,NORTH-WEST,BLAAUWBOSCHKUIL 229 HO 8 & 13,PO BOX 107 WOLMARANSSTAD 2630
15416,GG VAN NIEKERK DELWERY,DIAMONDS ALLUVIAL,OPENCAST,JC MOOLMAN,829 263 752,WOLMARANSSTAD,NORTH-WEST,DOORNBULT 224 HO 3 & 4,PO BOX 107 WOLMARANSSTAD 2630
15389,GJ BESTER,DIAMONDS ALLUVIAL,OPENCAST,MULDER MINING INVESTMENTS,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,GROOTLAAGTE 190 HO 1 & 11,PO BOX 1086 SCHWEIZER-RENEKE 2780
15207,GLOMIX 109,DIAMONDS ALLUVIAL,OPENCAST,W BOTHA,071 689 2845,SCHWEIZER - RENEKE,NORTH-WEST,ZANDFONTEIN 90 HO,PO BOX 902 SCHWEIZER RENEKE 2780
15200,GOLDEN DIAMOND FARMS,DIAMONDS ALLUVIAL,OPENCAST,WS OOSTHUIZEN,(018) 596 1562,WOLMARANSSTAD,NORTH-WEST,ZOUTPAN 212 HO,PO BOX 767 WOLMARANSSTAD 2630
14278,GOODYS MINING,DIAMONDS ALLUVIAL,OPENCAST,MODISAOTSILE GOODWIL TLATSANA,723 777 923,MMABATHO,NORTH-WEST,FARM 302 JO,PO BOX 222 MAFIKENG 2745
13817,GOUDSPEG ONTWIKKELAARS,DIMENSION STONE GRANITE,OPENCAST,GOUDSPEG ONTWIKKELAARS,(012) 256 5361,BRITS,NORTH-WEST,"HARTEBEESTPOORT B 410 JQ 1144, PTNS 124 125 143 146 609 & 972",PO BOX 2230 BRITS 0250
13971,GRAND PALACE TRADING 126 (PTY) LTD,DIMENSION STONE GRANITE,OPENCAST,GRAND PALACE TRADING 126 (PTY) LTD,082 804 5246,BRITS,NORTH-WEST,HARTEBEESTPOORT B 410 JQ 1219,PO BOX 894 BRITS 0250
15257,GRASPAN DELWERY,DIAMONDS ALLUVIAL,OPENCAST,NAMAKWA HOLDINGS,(053) 963 1108,SCHWEIZER - RENEKE,NORTH-WEST,LONDON 112 HO,38 THERESA STREET SCHWEIZER-RENEKE 2780
13946,GREAT CORMORANT INVESTMENTS 141 (PTY) LTD,DIMENSION STONE GRANITE,OPENCAST,GREAT CORMORANT INVESTMENTS 141 (PTY) LTD,(011) 285 0132,BRITS,NORTH-WEST,HARTEBEESPOORT B 410 JQ 1142,PO BOX 78465 SANTON 2146
15280,HARTEZER & STEYN BELEGGINGS,DIAMONDS ALLUVIAL,OPENCAST,HARTEZER & STEYN BELEGGINGS / BEKKER DELWERY CONTRACTOR,082 895 3516,VENTERSDORP,NORTH-WEST,ZWARTPLAAT,PO BOX 6499 FLAMWOOD 2570
14932,HEAVY FEATHER TRADING 22 CC,DIAMONDS ALLUVIAL,OPENCAST,HEAVY FEATHER TRADING 22 CC,083 390 2853,WOLMARANSSTAD,NORTH-WEST,DRIEFONTEIN 34 5 & 6,PO BOX 371 WOLMARANSSTAD 2630
10270,HELAM MINING (PTY) LTD,DIAMONDS KIMBERLITE,UNDERGROUND,PETRA DIAMONDS,(014) 544 6100,RUSTENBURG,NORTH-WEST,NOOITGEDACHT 381 JP,PO BOX 2 SWARTRUGGENS 2835
12701,HERNIC FERROCHOME (PTY) LTD,CHROME ORE,"OPENCAST, UNDERGROUND",HERNIC FERROCHROME (PTY) LTD,(012) 381 1100,BRITS,NORTH-WEST,"ELANDSKRAAL 469 JQ, DE KROON 444 JQ 103, WATERVAL 306 JQ, BOKFONTEIN 448 JQ, MAROELABULT",PO BOX 4534 BRITS 0250
13055,HERNIC FERROCHROME WORKS,CHROMIUM ALLOYS,SURFACE,HERNIC FERROCHROME (PTY) LTD,(012) 381 1100,BRITS,NORTH-WEST,DE KROON 444 JQ 103,PO BOX 4534 BRITS 0250
14411,HG DELWERY,DIAMONDS ALLUVIAL,OPENCAST,NKULU MINING CONTRACTOR,082 895 3516,LICHTENBURG,NORTH-WEST,BOSPAN 357 IO,PO BOX 6499 FLAMWOOD 2572
13585,HG ROHLANDT,DIAMONDS ALLUVIAL,OPENCAST,HG ROHLANDT,(053) 963 1081,CHRISTIANA,NORTH-WEST,AVONDSTER 142 HO,PO BOX 1086 SCHWEIZER-RENEKE 2780
15255,HIGHLY BLUE TRADING (PTY) LTD,DIMENSION STONE GRANITE,OPENCAST,MOSES BUTI MOLOI,878 150 180,BRITS,NORTH-WEST,"HARTEBEES 427 JQ VARIOUS, ROODEKOPJES OR ZWARTKOPJES 427 JQ VARIOUS",PO BOX 12473 TRAMSHED 0126
13945,HIROGEN MINE,DIAMONDS ALLUVIAL,OPENCAST,S MICHEAL AND GM SMITH,832 251 719,LICHTENBURG,NORTH-WEST,LA REYS STRYD 53 IO 2 3 & 4,PO BOX 783661 SANDTON 2146
13263,HORIZON CHROME MINE,CHROME ORE,"SURFACE, UNDERGROUND",GLENCORE MERAFE VENTURE,(014) 597 8047,MANKWE,NORTH-WEST,"RUIGHOEK 169 JP, VOGELSTRUISNEK 173 JP 169",PO BOX 310 KROONDAL 0350
15299,HPJ VILJOEN DELWERY - SITE 3,DIAMONDS ALLUVIAL,OPENCAST,HPJ VILJOEN,716 752 692,SCHWEIZER - RENEKE,NORTH-WEST,KAMEELKUIL 88 HO REM OF 3,PO BOX 893 SCHWEIZER RENEKE 2780
15000,HRI VAN DER MERWE - KLIPBANKFONTEIN,DIAMONDS ALLUVIAL,OPENCAST,HRI VAN DER MERWE,836 503 715,LICHTENBURG,NORTH-WEST,KLIPBANKFONTEIN 26 IP,PO BOX 3384 LICHTENBURG 2740
14366,IDADA TRADING,DIAMONDS ALLUVIAL,OPENCAST,OERSONKRAAL MINING CO (PTY) LTD,(053) 963 1081,WOLMARANSSTAD,NORTH-WEST,OERSONSKRAAL 250 HO,PO BOX 1086 SCHWEIZER RENEKE 2780
12110,IDWALA WITPOORT QUARRY,PYROPHYLLITE,OPENCAST,IDWALA INDUSTRIAL MINERALS,(011) 914 2600,LICHTENBURG,NORTH-WEST,WITPOORT 281 IP,PO BOX 6056 DUNSWART 1508
15017,IMPALA PLATINUM CHROME (PTY) LTD,CHROME ORE,OPENCAST,IMPALA PLATINUM CHROME (PTY) LTD,(014) 569 6770,RUSTENBURG,NORTH-WEST,BEERFONTEIN PHOKENG,PO BOX 5683 RUSTENBURG 0300
12434,IMPALA PLATINUM LTD,"PGM, GOLD, SILVER, CHROME ORE, COBALT METAL IC, COPPER, NICKEL, AMMONIUM SULPHATE, SULPHUR",UNDERGROUND,IMPALA PLATINUM HOLDINGS LTD,(014) 569 6720,RUSTENBURG,NORTH-WEST,"DOORNSPRUIT 106 JQ, VAALKOP 275 JQ, WILDEBEESFONTEIN 274 JQ",PO BOX 5863 RUSTENBURG 0300
11615,INTERNATIONAL FERRO METALS (SA) - MINE,CHROME ORE,UNDERGROUND,INTERNATIONAL FERRO METALS LTD,(014) 574 6500,BRITS,NORTH-WEST,BUFFELSFONTEIN 465 JQ 11 & 12,PO BOX 2223 MOOINOOI 0325
14419,INTERNATIONAL FERRO METALS (SA) - WORKS,CHROMIUM ALLOYS,SURFACE,INTERNATIONAL FERRO METALS LTD,(014) 574 6300,BRITS,NORTH-WEST,BUFFELSFONTEIN 465 JQ 11,PRIVATE BAG 2223 MOOINOOI 0325
15237,J & K STEYN TRUST,DIAMONDS ALLUVIAL,OPENCAST,PIETER ROUX & HENNIE JACOBS,845 893 783,WOLMARANSSTAD,NORTH-WEST,VLAKFONTEIN 37 HP,PO BOX 937 WOLMARANSSTAD 2630
14338,J SMIT,DIAMONDS ALLUVIAL,OPENCAST,J SMIT,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,MOOIFONTEIN 140 HO,PO BOX 1086 SCHWEIZER RENEKE 2780
14367,J VAN WYK,DIAMONDS ALLUVIAL,OPENCAST,VISKA DELWERY CC,(053) 963 1081,CHRISTIANA,NORTH-WEST,"KAREEPAN 336 HO 1 3 4 5 7O, RENE 335 HO",PO BOX 1086 SCHWEIZER-RENEKE 2780
15401,JACKPOT DIAMONDS,DIAMONDS ALLUVIAL,OPENCAST,CALOCUBE (PTY) LTD,729 110 823,CHRISTIANA,NORTH-WEST,KLIPFONTEIN 344 HO 1,PO BOX 29567 DANHOF BLOEMFONTEIN  9310
13964,JACO GREYLING DELWERY,DIAMONDS ALLUVIAL,OPENCAST,MULTILAYER TRADING 282 CC,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,KROMPAN 85 HO,PO BOX 1086 SCHWEIZER-RENEKE 2780
14982,JACOBUS ERNST POTGIETER,SAND NATURAL,OPENCAST,JACOBUS ERNST POTGIETER,(012) 262 0129,BRITS,NORTH-WEST,ROODEKOPJES 417 JQ PTNS,PO BOX 1618 BRITS 0250
14357,JB RHEEDER,DIAMONDS ALLUVIAL,OPENCAST,JB RHEEDER,(018) 597 4336,WOLMARANSSTAD,NORTH-WEST,RUSTKRAAL 129 HP 3 PTN OF 4,PO BOX 118 MAKWASSIE 2650
14745,JC KüHN,DIAMONDS ALLUVIAL,OPENCAST,JC KÜHN,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,OERSONSKRAAL 250 HO,PO BOX 1086 SCHWEIZER-RENEKE 2780
15335,JC LUBBE,DIAMONDS ALLUVIAL,OPENCAST,JC LUBBE,834 980 170,WOLMARANSSTAD,NORTH-WEST,RUSTKRAAL 138 HP,PO BOX 12 MAKWASSIE 2650
13587,JG UYS,DIAMONDS ALLUVIAL,OPENCAST,DAL UYS,082 895 3516,WOLMARANSSTAD,NORTH-WEST,"ROOIBULT 152 HO, RIETKUIL 155 HO",PO BOX 6499 FLAMWOOD 2572
12698,JG UYS - ROODEPAN,DIAMONDS ALLUVIAL,OPENCAST,DAL UYS,082 895 3516,WOLMARANSSTAD,NORTH-WEST,ROODEPAN 163 HO,PO BOX 6499 FLAMWOOD 2572
15288,JJ OOSTHUIZEN DELWERY,DIAMONDS ALLUVIAL,OPENCAST,JOSEF J OOSTHUIZEN,837 355 244,WOLMARANSSTAD,NORTH-WEST,ROODEPAN 163 HO,PO BOX 6046 WOLMARANSSTAD 2630
15178,JJG KIRSTEN - GS SCHUTTE DOORNBULT BOERDERY,DIAMONDS ALLUVIAL,OPENCAST,JJG KIRSTEN,826 785 756,WOLMARANSSTAD,NORTH-WEST,DOORNBULT 224 HO,PO BOX 172 MAKWASSIE 2650
14210,JM VAN DER MERWE,DIAMONDS ALLUVIAL,OPENCAST,JM VAN DER MERWE,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,DE HOOP 1098 HO,PO BOX 1086 SCHWEIZER-RENEKE 2780
14821,JM VAN DER MERWE - DRIEHOEK,DIAMONDS ALLUVIAL,OPENCAST,JM VAN DER MERWE,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,"DE HOOP 198 HO, PTN DRIEHOEK",PO BOX 1086 SCHWEIZER-RENEKE 2780
14352,JODEO FOUR - PIENAARSFONTEIN,DIAMONDS ALLUVIAL,OPENCAST,JODEO FOUR (PTY) LTD,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,PIENAARSFONTEIN 113 HO,PO BOX 1086 SCHWEIZER-RENEKE 2780
14354,JOEY FOURIE DELWERY (PTY) LTD,DIAMONDS ALLUVIAL,OPENCAST,JOEY FOURIE DELWERY (PTY) LTD,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,HOUTVOLLOP 111 HO 2,PO BOX 1086 SCHWEIZER-RENEKE 2780
14353,JOHN CALLENDER EASBY,DIAMONDS ALLUVIAL,OPENCAST,JOHN CALLENDER EASBY,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,SMITHSKRAAL 1519 HO,PO BOX 1086 SCHWEIZER RENEKE 2780
14464,JP KOEKEMOER - BIESIESLAAGTE,DIAMONDS ALLUVIAL,OPENCAST,PEET KOEKEMOER,082 895 3516,WOLMARANSSTAD,NORTH-WEST,BIESIESLAAGTE 397 IO REM,PO BOX 6499 FLAMWOOD 2570
14465,JP KOEKEMOER - WELVERDIEND,DIAMONDS ALLUVIAL,OPENCAST,JP KOEKEMOER - WELVERDIEND,(018) 468 4015,WOLMARANSSTAD,NORTH-WEST,WELVERDIEND 151 HO REM,PO BOX 249 WOLMARANDSSTAD 2526
15137,JVW DELWERY,DIAMONDS ALLUVIAL,OPENCAST,IGNATIUS FRANCOIS MARE,825 249 157,DELAREYVILLE,NORTH-WEST,"RONDEPAN 317 IO 4, ZANDVALEI 301 IO",PO BOX 636 SANNIESHOF 2650
13592,K POTGIETER,DIAMONDS ALLUVIAL,OPENCAST,K POTGIETER,,MMABATHO,NORTH-WEST,MOLOPO RATSHIDI 302 JO,PO BOX 7065 MMABATHO 2735
13065,KALAHARI GOLD RIDGE MINE,"GOLD, SILVER",OPENCAST,HARMONY GOLD MINING COMPANY LTD,(011) 332 1101,VRYBURG,NORTH-WEST,"FERNDALE 286 IO 11, GOLD RIDGE 295 IO, GOLDRIDGE 407 IO, NOTTINGHAM 299 IO, SPANOVER 284 IO 1 & 4",PO BOX 101 MAREETSANE 2715
13031,KALAKA MINING (PTY) LTD,"LIMESTONE, LIME",OPENCAST,KALAKA MINING (PTY) LTD,(011) 615 7684,MANKWE,NORTH-WEST,KRAALHOEK 399 KQ,POSTNET SUITE 350 PRIVATE BAG X30500 HOUGHTON  2041
14186,KELEDI JOINT VENTURE,DIMENSION STONE GRANITE,OPENCAST,KELGRAN INVESTMENTS (PTY) LTD,(012) 250 1970,RUSTENBURG,NORTH-WEST,BEESTKRAAL 290 1 2 3 & 10,PO BOX 616 BRITS 0250
12452,KELGRAN AFRICA (PTY) LTD - BAFOKENG,DIMENSION STONE GRANITE,OPENCAST,KELGRAN INVESTMENTS (PTY) LTD,(012) 250 1970,RUSTENBURG,NORTH-WEST,"BOSCHPOORT 284, KLIPGAT 281, TWEEDEPOORT 283 JQ",PO BOX 616 BRITS 0250
12430,KELGRAN AFRICA (PTY) LTD - RUSTENBURG,DIMENSION STONE GRANITE,OPENCAST,KELGRAN INVESTMENTS (PTY) LTD,(012) 250 1970,RUSTENBURG,NORTH-WEST,"BEESTEKRAAL 290 JQ 4 5 6 & 7, BOSCHPOORT 284 JQ 6, NOOITGEDACHT 289",PO BOX 616 BRITS 0250
14525,KHANYETSA CONSORTUIM,DIAMONDS ALLUVIAL,OPENCAST,CENTRAL HIGH TRADING 58,(053) 963 1081,CHRISTIANA,NORTH-WEST,MOOIFONTEIN 140 HO 2 & 14,PO BOX 1086 SCHWEIZER-RENEKE 2780
14606,KHUSELEKA MINE,"PGM, GOLD, CHROME ORE, COBALT METAL IC, COPPER, NICKEL, SODIUM SULPHATE, SULPHUR",UNDERGROUND,SIBANYE STILLWATER,(014) 598 3291,RUSTENBURG,NORTH-WEST,"BOSCHFONTEIN 268 JQ, RUSTENBURG TOWN & TOWNLANDS 272 JQ, PAARDEKRAAL 279 JQ",PO BOX 1 BLESKOP 0292
15304,KLEINBEGIN DELWERY CC,DIAMONDS ALLUVIAL,OPENCAST,AJ JONKER,082 572 1525,CHRISTIANA,NORTH-WEST,ZEVENFONTEIN 240 HO 8 OF 1 RE,PO BOX 9 BLOEMHOF 2660
13824,KLERKSDORP SUPERSAND EN STENE,"SAND NATURAL, AGGREGATE",OPENCAST,KLERKSDORP SUPERSAND EN STENE,(018) 464 4178,KLERKSDORP,NORTH-WEST,ROOIKUIL 362 IP SUB 24,PO BOX 1550 KLERKSDORP 2570
14442,KLOSSIESPAN,DIAMONDS ALLUVIAL,OPENCAST,J & S ZERWICK TRUST,(053) 441 3740,SCHWEIZER - RENEKE,NORTH-WEST,KLOSSIEPAN 279 HO,PO BOX 4 CHRISTIANA 2680
14593,KROKODILKRAAL SAND,SAND NATURAL,OPENCAST,KROKODILKRAAL TRANSPORT & SAND,(014) 785 0704,RUSTENBURG,NORTH-WEST,KROKODILKRAAL 545 KQ 3,PO BOX 7 KOEDOESKOP 0361
13204,KROONDAL MINE,"PGM, GOLD, COBALT METAL IC, COPPER, NICKEL, SULPHUR","OPENCAST, UNDERGROUND",SIBANYE PLATINUM,(014) 536 4118,RUSTENBURG,NORTH-WEST,KROONDAL 304 JQ,PO BOX 624 KROONDAL 0350
10192,KUSASALETHU,"GOLD, SILVER",UNDERGROUND,HARMONY GOLD MINING COMPANY LTD,(011) 411 2000,POTCHEFSTROOM,NORTH-WEST,"BUFFELSDOORN 143 IQ, ELANDSFONTEIN 114 IQ, ELANDSFONTEIN 115 IQ, ELANDSRAND 135 IQ",PO BOX 2 RANDFONTEIN 1760
13910,LAFARGE - TSWANA LIME LTD,"LIMESTONE, LIME",OPENCAST,LAFARGE SOUTH AFRICA,(018) 633 3032,DELAREYVILLE,NORTH-WEST,"DRIEFONTEIN 46 IO, POLFONTEIN 47 IO, RIETSCHRAAL 58 IO, SPRINGBOKPAN 58 JR, SPRINGBOKPAN 61 IO",PO BOX 188 LICHTENBURG 2740
10052,LAFARGE SOUTH AFRICA - LICHTENBURG,"LIMESTONE, LIME",OPENCAST,LAFARGE SOUTH AFRICA,(018) 633 3032,LICHTENBURG,NORTH-WEST,"LICHTENBURG TOWN & TOWNLANDS 22 IP, LOVEDALE 277 JU",PO BOX 188 LICHTENBURG 2740
10853,LANXESS CHROME MINING (PTY) LTD,CHROME ORE,UNDERGROUND,LANXESS CHROME MINING (PTY) LTD,(011) 457 4012,RUSTENBURG,NORTH-WEST,RIETFONTEIN 338 JQ,PO BOX 1161 EDENVALE 1610
15296,LEFIKA HARTEBEESPOORT MINING,"DIMENSION STONE GRANITE,",OPENCAST,NEW VENTURE MINING INVESTMENT HOLDIINGS (PTY) LTD,076 5768892,BRITS,NORTH-WEST,HARTEBEESTPOORT B 410 JQ 1127,PO BOX 8973 RUSTENBURG 0300
14392,LENONG MINING INVESTMENTS (PTY) LTD,DIMENSION STONE GRANITE,OPENCAST,LENONG MINING INVESTMENTS (PTY) LTD,(012) 252 0693,BRITS,NORTH-WEST,HARTEBEESPOORT B 400 JQ,PO BOX 1541 BRITS 0250
15198,LEOPARD LILLY TRADING,DIAMONDS ALLUVIAL,OPENCAST,HS BADENHORST,083 274 8541,CHRISTIANA,NORTH-WEST,SWARTLAAGTE,PO BOX 713 BLOEMHOF 2660
11408,LESAKA CRUSHERS,"AGGREGATE, SAND NATURAL",OPENCAST,JH MARX,(014) 593 4322,RUSTENBURG,NORTH-WEST,"PAARDEKRAAL 279 JQ, TOWNLANDS",POSTNET SUITE 4078 PRIVATE BAG X82323 RUSTENBURG  0300
15360,LEVUSHKA (PTY) LTD,DIAMONDS ALLUVIAL,OPENCAST,PAPAVANGELO TRADING 26 (PTY) LTD,(053) 963 1081,CHRISTIANA,NORTH-WEST,"CAWOODS HOPE 324 HO, GOEDEHOOP 331 HO",PO BOX 1086 SCHWEIZER-RENEKE 2780
10759,LIEBENBERG LEIGROEWE,DIMENSION STONE SLATE,OPENCAST,LIEBENBERG LEIGROEWE,(011) 955 2098,RUSTENBURG,NORTH-WEST,"RIETFONTEIN 453 JP, ROSMINCOL 442 JP",PO BOX 97 KOSTER 0348
15214,LM MOLOI ENGINEERING CC,DIMENSION STONE GRANITE,OPENCAST,LM MOLOI ENGINEERING CC,(012) 252 0499,BRITS,NORTH-WEST,ROODEKOPJES 427 JQ VARIOUS,PO BOX 3069 BRITS 0250
13007,LONG MEADOW BRICK CO,SHALE BRICKMAKING,OPENCAST,LONG MEADOW BRICK CO (PTY) LTD,(012) 376 2839,BRITS,NORTH-WEST,"RIETFONTEIN 485 JQ 485 JQ 160, 176",PO BOX 301 IFAFI 0260
14115,LONMIN PLATINUM - MARIKANA MINING,"PGM, GOLD, COBALT METAL IC, COPPER, NICKEL, SULPHUR","OPENCAST, UNDERGROUND",LONMIN PLATINUM,(014) 571 2000,BRITS,NORTH-WEST,"BOSCHFONTEIN 458 JQ, ELANDSDRIFT 467 JQ, ELANDSKRAAL 469 JQ, KAFFERSKRAAL 342 JQ, KAREEPOORT 407 JQ, MIDDELKRAAL 466 JQ, MODDERSPRUIT 461 JQ",PRIVATE BAG 508 MARIKANA 0284
14116,LONMIN PLATINUM - SHARED BUSINESS SERVICES,"PGM, GOLD, COBALT METAL IC, COPPER, NICKEL, SULPHUR",SURFACE,LONMIN PLATINUM,(014) 571 2000,RUSTENBURG,NORTH-WEST,"BOSCHFONTEIN 458 JQ, ELANDSDRIFT 467 JQ, ELANDSKRAAL 469 JQ, KAFFERSKRAAL 342 JQ, MIDDELKRAAL 446 JQ, MODDERSPRUIT 461 JQ, KAREEPOORT 407 JQ",PRIVATE BAG 508 MARIKANA 0284
12328,LONMIN PLATINUM PROCESS DIVISION,"PGM, GOLD, COBALT METAL IC, COPPER, NICKEL, SULPHUR",SURFACE,LONMIN PLATINUM,(014) 571 2000,RUSTENBURG,NORTH-WEST,"MIDDELKRAAL 466 JQ, BOSCHFONTEIN 458 JQ, ELANDSDRIFT 467 JQ, KAFFERSKRAAL 342 JQ, KAREEPOORT 407 JQ, ELANDSKRAAL 469 JQ, MODDERSPRUIT 461 JQ",PRIVATE BAG 508 MARIKANA 0284
13408,LOVEDALE,"LIMESTONE, LIME",OPENCAST,OOS-TVL KALKVERSKAFFERS (EDMS) BPK,(018) 464 7820,LICHTENBURG,NORTH-WEST,ELANDSFONTEIN 34 38,PO BOX 31 KLERKSDORP 2570
13868,M NEL BOERDERY,DIAMONDS ANY,OPENCAST,MARIUS NEL,(018) 431 0560,CHRISTIANA,NORTH-WEST,MOOIFONTEIN 140 HO,PO BOX 06 HARTEBEESFONTEIN 2600
15236,MAFEKING CEMENT (PTY) LTD,LIMESTONE,OPENCAST,ARM CEMENT LTD,(011) 450 2591,LICHTENBURG,NORTH-WEST,"MOOIMEISJESFONTEIN 118 JO VARIOUS, VERGENOEG 45 IO PTN, WELVERDIEND 45 IO, DE HOOP 60 IO VARIOUS, SCHOONGEZICHT 42 IO VARIOUS, MOOILAAGTE 41 IO PTN",PO BOX 3116 BEDFORDVIEW 2008
14947,MAFIKENG CLAY ( FORMERLY MOLOPO BRICKS),"CLAY BRICKMAKING, SHALE BRICKMAKING",OPENCAST,MOLOPO BRICKS,(018) 292 1615,MMABATHO,NORTH-WEST,RATSHIDI 302 JO,PO BOX 588 POTCHEFSTROOM 2531
14098,MAJENG MINING (PTY) LTD,DIMENSION STONE GRANITE,OPENCAST,EAGLE GRANITE (PTY) LTD,(011) 803 3910,BRITS,NORTH-WEST,HARTEBEESTPOORT B 410 JQ 1123,PO BOX 6194 RIVONIA 2128
14381,MALAN BOERDERY,DIAMONDS ALLUVIAL,OPENCAST,JOHAN MALAN,083 417 6741,WOLMARANSSTAD,NORTH-WEST,VOGELSTRUISKUIL 400 IO VARIOUS,PO BOX 322 WOLMARANSSTAD 2680
11764,MARGARET WATER COMPANY NPC,"AGGREGATE, SAND NATURAL",OPENCAST,MARGARET WATER COMPANY NPC,(018) 484 4202,KLERKSDORP,NORTH-WEST,STILFONTEIN 408 IP F,PO BOX 1 STILLFONTEIN 2550
